Species name (original dataset),mb (g),Log10 mb (g),BMR (ml O2 h-1),Log10 BMR (ml O2 h-1),,,Longitude (°),Altitude (m),,,,
Procavia capensis,2400,3.38,647.26,2.81,,,37.54,1407,,,,
Proechimys semispinosus,498,2.7,313.74,2.5,,,-85.9,97,,,,
Pseudantechinus macdonnellensis,43.1,1.63,27.15,1.43,,,133.9,569,,,,
Pseudocheirus peregrinus,835,2.92,393.29,2.59,,,116.13,234,,,,
Pseudomys gracilicaudatus,79.8,1.9,83.79,1.92,,,150.58,220,,,,
Pseudomys hermannsburgensis,12.2,1.09,23.3,1.37,,,131.78,674,,,,
Pteronotus davyi,9.4,0.97,15.42,1.19,,,-71.1,3,,,,
Pteronotus parnellii,19.2,1.28,30.85,1.49,,,-71.1,3,,,,
Pteronotus personatus,14,1.15,22.89,1.36,,,-71.1,3,,,,
Pteronotus quadridens,4.9,0.69,5.97,0.78,,,-75.15,310,,,,
Pteropus poliocephalus,825,2.92,316.42,2.5,,,153.02,16,,,,
Pteropus rodricensis,254.5,2.41,134.83,2.13,,,153.1,11,,,,
Pteropus scapulatus,440,2.64,242.29,2.38,,,153.4,91,,,,
Ptilocerus lowii,58,1.76,43.5,1.64,,,101.55,38,,,,
Raphicerus campestris,8500,3.93,3269.15,3.51,,,28.13,1127,,,,
Rattus colletti,165.7,2.22,122.95,2.09,,,130.87,19,,,,
Rattus fuscipes,76,1.88,82.84,1.92,,,117.8,71,,,,
Rattus lutreolus,109,2.04,63.22,1.8,,,144.97,58,,,,
Rattus meltada,67.4,1.83,58.64,1.77,,,73.02,217,,,,
Rattus villosissimus,185,2.27,104.9,2.02,,,135.95,219,,,,
Reithrodon auritus,78.7,1.9,76.81,1.89,,,-72.3,187,,,,
Reithrodontomys megalotis,9,0.95,22.5,1.35,,,-122.25,165,,,,
Rhabdomys pumilio,39.62,1.6,32.09,1.51,,,28.18,1374,,,,
Rhinonicteris aurantia,8.27,0.92,16.42,1.22,,,-112.35,303,,,,
Saccopteryx bilineata,8.2,0.91,14.43,1.16,,,-85.05,58,,,,
Saccostomus campestris,75.7,1.88,46.78,1.67,,,32.2,67,,,,
Saimiri sciureus,850,2.93,594.53,2.77,,,-62.29,65,,,,
Scalopus aquaticus,48,1.68,67.66,1.83,,,-82.2,39,,,,
Sciurus aberti,623,2.79,430.56,2.63,,,-111.7,2138,,,,
Sciurus carolinensis,440,2.64,369.6,2.57,,,-83.87,349,,,,
Scotinomys teguina,12,1.08,31.2,1.49,,,-84.83,57,,,,
Scotinomys xerampelinus,15.2,1.18,31.92,1.5,,,-83.9,1890,,,,
Sekeetamys calurus,71.2,1.85,54.4,1.74,,,34.25,33,,,,
Setifer setosus,530,2.72,121.89,2.09,,,-80.3,8,,,,
Setonix brachyurus,2674,3.43,802.49,2.9,,,115.54,7,,,,
Sicista betulina,10,1,32,1.51,,,14.37,408,,,,
Sigmodon alleni,137.8,2.14,203.26,2.31,,,-96.72,1716,,,,
Sigmodon fulviventer,137.8,2.14,207.39,2.32,,,-107.2,2,,,,
Sigmodon hispidus,191.6,2.28,251,2.4,,,-93.78,394,,,,
Sigmodon leucotis,128.6,2.11,186.47,2.27,,,-107.2,2,,,,
Sigmodon ochrognathus,115.1,2.06,154.23,2.19,,,-105.95,2207,,,,
Sminthopsis crassicaudata,17.7,1.25,22.13,1.34,,,142.08,53,,,,
Sminthopsis macroura,22,1.34,23.54,1.37,,,133.9,569,,,,
Sminthopsis murina,12.9,1.11,20.51,1.31,,,151.78,26,,,,
Sorex alpinus,7.8,0.89,47.58,1.68,,,6.13,475,,,,
Sorex araneus,8.7,0.94,64.64,1.81,,,48.83,-4,,,,
Sorex cinereus,3.5,0.54,26.37,1.42,,,89.4,578,,,,
Sorex coronatus,9,0.95,51.3,1.71,,,6.13,475,,,,
Sorex minutus,3.8,0.58,32.68,1.51,,,6.13,475,,,,
Sorex sinuosus,9.7,0.99,52.28,1.72,,,-122.25,165,,,,
Spalacopus cyanus,185,2.27,101.99,2.01,,,-71.31,327,,,,
Spalax erhenbergi,122,2.09,94.85,1.98,,,35.4,84,,,,
Spalax leucodon,207.7,2.32,148.76,2.17,,,33.46,1022,,,,
Spermophilus armatus,307,2.49,190.34,2.28,,,-111.5,2644,,,,
Spermophilus beecheyi,599.6,2.78,317.79,2.5,,,-118.4,33,,,,
Spermophilus beldingi,289.8,2.46,159.39,2.2,,,-120.1,2062,,,,
Spermophilus lateralis,278.7,2.45,200.66,2.3,,,-105.68,2207,,,,
Spermophilus richardsonii,252.3,2.4,161.47,2.21,,,-105.68,2207,,,,
Spermophilus tereticaudus,90.8,1.96,59.93,1.78,,,-114.9,596,,,,
Spermophilus townsendii,231,2.36,129.36,2.11,,,-112.3,1769,,,,
Spermophilus tridecemlineatus,182,2.26,103.74,2.02,,,-114.6,85,,,,
Spermophilus undulatus*,588,2.77,667.08,2.82,,,-156.78,12,,,,
Spilocuscus maculatus,4250,3.63,1103.98,3.04,,,140.71,531,,,,
Spilogale putorius,624,2.8,293.03,2.47,,,-81.04,13,,,,
Steatomys pratensis,37.54,1.57,18.77,1.27,,,32.2,67,,,,
Sturnira erythromos,15.9,1.2,39.8,1.6,,,-64.06,1742,,,,
Sturnira lilium,21.9,1.34,39.3,1.59,,,-56.48,128,,,,
Suricata suricatta,850,2.93,310.25,2.49,,,18.12,777,,,,
Syconycteris australis,17.8,1.25,17.41,1.24,,,146.23,1700,,,,
Sylvilagus audubonii,672.4,2.83,437.73,2.64,,,-110.93,815,,,,
Tachyoryctes splendens,191,2.28,150.75,2.18,,,36.49,999,,,,
Tamandua tetradactyla,3500,3.54,874.13,2.94,,,-58.44,95,,,,
Tamias amoenus,57.3,1.76,96.84,1.99,,,-114.02,1099,,,,
Tamias merriami,75,1.88,78.75,1.9,,,-118.4,33,,,,
Tamias minimus,45.8,1.66,75.11,1.88,,,-114.02,1099,,,,
Tamias palmeri,69.4,1.84,113.12,2.05,,,-114.9,596,,,,
Tamias striatus,91.8,1.96,235.93,2.37,,,-85.8,301,,,,
Tamiasciurus hudsonicus,228.3,2.36,254.55,2.41,,,-97.23,235,,,,
Tarsipes rostratus,10,1,29,1.46,,,118.47,291,,,,
Tarsius syrichta,125,2.1,77.11,1.89,,,124.14,185,,,,
Tatera afra,106.5,2.03,182.12,2.26,,,18.9,456,,,,
Tatera indica,86.8,1.94,75.52,1.88,,,73.02,217,,,,
Tatera leucogaster,133.8,2.13,137.01,2.14,,,24.77,1199,,,,
Thallomys nigricauda,124.7,2.1,68.46,1.84,,,20.7,868,,,,
Thallomys paedulcus,124.7,2.1,68.66,1.84,,,20.58,1016,,,,
Thomomys bottae,143,2.16,119.9,2.08,,,-117.59,269,,,,
Thomomys talpoides,106,2.03,108.96,2.04,,,-119.34,1935,,,,
Thomomys umbrinus,85,1.93,72.14,1.86,,,-115.14,598,,,,
Thrichomys apereoides,323,2.51,206.47,2.31,,,39.13,365,,,,
Thylamys elegans,40.2,1.6,42.79,1.63,,,-69.6,1656,,,,
Tolypeutes matacus,1160,3.06,209.95,2.32,,,-63.37,49,,,,
Tonatia bidens,27.4,1.44,39.3,1.59,,,-62.5,14,,,,
Tragulus javanicus,1618,3.21,875.12,2.94,,,101.41,22,,,,
Tupaia belangeri,186,2.27,126.37,2.1,,,102.13,1580,,,,
Tupaia glis,123,2.09,93.53,1.97,,,99.2,39,,,,
Tympanoctomys barrerae,71.4,1.85,77.11,1.89,,,-66.35,639,,,,
Uroderma bilobatum,16.2,1.21,26.37,1.42,,,-62.5,14,,,,
Urogale everetti,260.6,2.42,224.12,2.35,,,125.6,65,,,,
Uromys caudimaculatus,819,2.91,570.84,2.76,,,143.2,401,,,,
Vulpes macrotis,1868,3.27,936.82,2.97,,,-112.04,356,,,,
Vulpes vulpes,5010,3.7,1501,3.18,,,-151.46,248,,,,
Vulpes zerda,1106,3.04,398.01,2.6,,,8.18,27,,,,
Xerus inauris,515.3,2.71,310.21,2.49,,,15.5,1130,,,,
Xerus princeps,627,2.8,354.26,2.55,,,15.5,1130,,,,
Zaedyus pichiy,1740,3.24,400,2.6,,,-63.37,49,,,,
Zaglossus bruijni,10300,4.01,1214.43,3.08,,,140.44,807,,,,
Zapus hudsonius,30,1.48,45,1.65,,,-91.15,308,,,,
