Species,BeginTime(s),EndTime(s),Call time (s),,,,Vidua macroura,Estrilda astrild,Call time (s)
Estrilda astrild,19.30654069,19.39363814,0.08709745,,,,,,
Estrilda astrild,14.03187279,14.11669464,0.08482185,,,,,,
Estrilda astrild,6.968144653,7.098735615,0.130590962,,,,,,
Estrilda astrild,7.701275545,7.833185608,0.131910063,,,,,,
Estrilda astrild,9.805072569,9.902686015,0.097613446,,,,,,
Estrilda astrild,11.97086732,12.09354368,0.12267636,,,,,,
Estrilda astrild,15.35649895,15.4686225,0.11212355,,,,,,
Estrilda astrild,15.6783595,15.81290777,0.13454827,,,,,,
Estrilda astrild,18.48651411,18.60787137,0.12135726,,,,,,
Estrilda astrild,18.6698691,18.81497017,0.14510107,,,,,,
Estrilda astrild,19.07842831,19.20907449,0.13064618,,,,,,
Estrilda astrild,19.51096785,19.64783527,0.13686742,,,,,,
Estrilda astrild,14.32259979,14.44894325,0.12634346,,,,,,
Estrilda astrild,35.40592153,35.50270587,0.09678434,,,,,,
Estrilda astrild,36.22587828,36.33202884,0.10615056,,,,,,
Estrilda astrild,37.48144742,37.57823176,0.09678434,,,,,,
Estrilda astrild,38.03405478,38.15269365,0.11863887,,,,,,
Estrilda astrild,42.91041596,43.01032238,0.09990642,,,,,,
Estrilda astrild,42.25790218,42.3702969,0.11239472,,,,,,
Estrilda astrild,43.97340188,44.06081999,0.08741811,,,,,,
Estrilda astrild,45.14828983,45.24819625,0.09990642,,,,,,
Estrilda astrild,46.89386128,46.98440147,0.09054019,,,,,,
Estrilda astrild,48.41431416,48.53607511,0.12176095,,,,,,
Estrilda astrild,41.67454873,41.77757722,0.10302849,,,,,,
Estrilda astrild,36.4256908,36.55057382,0.12488302,,,,,,
Estrilda astrild,37.76818327,37.90867667,0.1404934,,,,,,
Estrilda astrild,36.6036491,36.71604382,0.11239472,,,,,,
Estrilda astrild,38.29992573,38.40919838,0.10927265,,,,,,
Estrilda astrild,38.53720347,38.65584234,0.11863887,,,,,,
Estrilda astrild,42.47217396,42.63139981,0.15922585,,,,,,
Estrilda astrild,42.68759717,42.82184642,0.13424925,,,,,,
Estrilda astrild,44.1776512,44.31502252,0.13737132,,,,,,
Estrilda astrild,45.37505203,45.5186675,0.14361547,,,,,,
Estrilda astrild,47.12308721,47.27606891,0.1529817,,,,,,
Estrilda astrild,40.94702139,41.08033402,0.13331263,,,,,,
